County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,30765,4068,672,222,0.0218430,40.7145500,-74.0071400,2020-03-28 23:49 EDT
Westchester,New York,7875,688,10,0,0.0012698,41.1631976,-73.7560629,2020-03-28 23:49 EDT
Nassau,New York,5537,880,34,7,0.0061405,40.7416523,-73.5889962,2020-03-28 23:49 EDT
Suffolk,New York,4138,753,37,7,0.0089415,40.8773281,-72.8589804,2020-03-28 23:49 EDT
Rockland,New York,1896,439,8,0,0.0042194,41.1523740,-74.0240103,2020-03-28 23:49 EDT
Orange,New York,1142,232,4,0,0.0035026,41.4020682,-74.3055957,2020-03-28 23:49 EDT
Erie,New York,380,70,6,0,0.0157895,42.7638212,-78.7322497,2020-03-28 23:49 EDT
Dutchess,New York,262,37,2,1,0.0076336,41.7647751,-73.7428168,2020-03-28 23:49 EDT
Monroe,New York,202,36,5,1,0.0247525,43.1460428,-77.6967491,2020-03-28 23:49 EDT
Albany,New York,195,8,0,0,0.0000000,42.6515500,-73.7552100,2020-03-28 23:49 EDT
Onondaga,New York,146,23,1,0,0.0068493,43.0048700,-76.1836000,2020-03-28 23:49 EDT
Ulster,New York,135,37,0,0,0.0000000,41.9598600,-73.9903300,2020-03-28 23:49 EDT
Putnam,New York,131,20,0,0,0.0000000,41.4265345,-73.7494999,2020-03-28 23:49 EDT
Saratoga,New York,96,14,0,0,0.0000000,43.0697400,-73.6366100,2020-03-28 23:49 EDT
Schenectady,New York,72,6,1,0,0.0138889,42.8123800,-73.9412200,2020-03-28 23:49 EDT
Sullivan,New York,72,8,0,0,0.0000000,41.7163135,-74.7681108,2020-03-28 23:49 EDT
Tompkins,New York,56,8,0,0,0.0000000,42.4493350,-76.4706436,2020-03-28 23:49 EDT
Rensselaer,New York,51,7,0,0,0.0000000,42.7108626,-73.5097379,2020-03-28 23:49 EDT
Niagara,New York,33,10,0,0,0.0000000,43.1999815,-78.7452226,2020-03-28 23:49 EDT
Columbia,New York,30,3,1,1,0.0333333,42.2500108,-73.6318613,2020-03-28 23:49 EDT
Madison,New York,29,12,1,0,0.0344828,42.9129075,-75.6697890,2020-03-28 23:49 EDT
Oneida,New York,23,10,0,0,0.0000000,43.2430650,-75.4258360,2020-03-28 23:49 EDT
Broome,New York,23,5,3,0,0.1304348,42.1602180,-75.8196459,2020-03-28 23:49 EDT
Ontario,New York,16,2,0,0,0.0000000,42.8528894,-77.2998110,2020-03-28 23:49 EDT
Warren,New York,13,5,0,0,0.0000000,43.5592099,-73.8588116,2020-03-28 23:49 EDT
Steuben,New York,13,1,0,0,0.0000000,42.2678268,-77.3838260,2020-03-28 23:49 EDT
Clinton,New York,12,1,0,0,0.0000000,44.7904000,-73.6006000,2020-03-28 23:49 EDT
Wayne,New York,12,1,0,0,0.0000000,42.4741310,-77.0981600,2020-03-28 23:49 EDT
Chemung,New York,12,1,0,0,0.0000000,42.1411881,-76.7600106,2020-03-28 23:49 EDT
St. Lawrence,New York,11,7,0,0,0.0000000,44.1772700,-76.1677200,2020-03-28 23:49 EDT
Livingston,New York,10,7,0,0,0.0000000,42.7280835,-77.7754386,2020-03-28 23:49 EDT
Oswego,New York,10,6,0,0,0.0000000,43.4365257,-76.1492440,2020-03-28 23:49 EDT
Herkimer,New York,9,0,1,1,0.1111111,43.0259000,-74.9843300,2020-03-28 23:49 EDT
Washington,New York,9,3,0,0,0.0000000,43.3122711,-73.4309623,2020-03-28 23:49 EDT
Delaware,New York,8,0,0,0,0.0000000,42.1980433,-74.9663520,2020-03-28 23:49 EDT
Chenango,New York,8,4,0,0,0.0000000,42.4934944,-75.6115371,2020-03-28 23:49 EDT
Cortland,New York,8,4,0,0,0.0000000,42.5950011,-76.0702374,2020-03-28 23:49 EDT
Greene,New York,7,1,0,0,0.0000000,42.2765457,-74.1226159,2020-03-28 23:49 EDT
Wyoming,New York,7,0,1,0,0.1428571,42.7024266,-78.2244326,2020-03-28 23:49 EDT
Genesee,New York,7,1,0,0,0.0000000,43.0009402,-78.1936949,2020-03-28 23:49 EDT
Otsego,New York,7,2,1,1,0.1428571,42.6337375,-75.0325623,2020-03-28 23:49 EDT
Chautauqua,New York,7,5,0,0,0.0000000,42.2282627,-79.3664330,2020-03-28 23:49 EDT
Tioga,New York,6,4,0,0,0.0000000,42.0605700,-76.3451900,2020-03-28 23:49 EDT
Montgomery,New York,6,1,0,0,0.0000000,42.9022918,-74.4396009,2020-03-28 23:49 EDT
Jefferson,New York,6,2,0,0,0.0000000,44.0410342,-75.9122553,2020-03-28 23:49 EDT
Essex,New York,5,0,0,0,0.0000000,44.1075570,-73.7912585,2020-03-28 23:49 EDT
Schoharie,New York,5,2,0,0,0.0000000,42.5882075,-74.4421359,2020-03-28 23:49 EDT
Franklin,New York,5,2,0,0,0.0000000,44.5926754,-74.3034218,2020-03-28 23:49 EDT
Orleans,New York,3,0,0,0,0.0000000,43.2521006,-78.2312468,2020-03-28 23:49 EDT
Allegany,New York,2,0,0,0,0.0000000,42.2573979,-78.0275544,2020-03-28 23:49 EDT
Hamilton,New York,2,0,0,0,0.0000000,43.6613037,-74.4973357,2020-03-28 23:49 EDT
Cayuga,New York,2,0,0,0,0.0000000,42.9214520,-76.5491749,2020-03-28 23:49 EDT
Fulton,New York,1,0,0,0,0.0000000,43.1124027,-74.4351628,2020-03-28 23:49 EDT
Cattaraugus,New York,1,1,0,0,0.0000000,42.2485958,-78.6788120,2020-03-28 23:49 EDT
Schuyler,New York,1,1,0,0,0.0000000,42.3706390,-76.9851275,2020-03-28 23:49 EDT
Bergen,New Jersey,1838,333,13,7,0.0070729,40.9594915,-74.0744420,2020-03-28 23:49 EDT
Essex,New Jersey,1086,260,7,3,0.0064457,40.7877926,-74.2476006,2020-03-28 23:49 EDT
Middlesex,New Jersey,808,168,4,4,0.0049505,40.5793600,-74.5006700,2020-03-28 23:49 EDT
Monmouth,New Jersey,781,147,6,3,0.0076825,40.2600411,-74.2219463,2020-03-28 23:49 EDT
Hudson,New Jersey,771,177,4,2,0.0051881,40.7403423,-74.0741097,2020-03-28 23:49 EDT
Union,New Jersey,742,223,0,0,0.0000000,40.6963500,-74.2695700,2020-03-28 23:49 EDT
Ocean,New Jersey,624,140,4,3,0.0064103,39.9092743,-74.2969653,2020-03-28 23:49 EDT
Passaic,New Jersey,608,124,7,0,0.0115132,40.8603400,-74.1237400,2020-03-28 23:49 EDT
Morris,New Jersey,442,51,3,2,0.0067873,40.8620190,-74.5442741,2020-03-28 23:49 EDT
Somerset,New Jersey,258,36,4,3,0.0155039,40.4985900,-74.5224900,2020-03-28 23:49 EDT
Mercer,New Jersey,168,37,0,0,0.0000000,40.2833191,-74.7015737,2020-03-28 23:49 EDT
Camden,New Jersey,123,28,1,0,0.0081301,39.9452500,-75.1191300,2020-03-28 23:49 EDT
Burlington,New Jersey,115,27,0,0,0.0000000,40.0768700,-74.8577500,2020-03-28 23:49 EDT
Sussex,New Jersey,81,16,0,0,0.0000000,41.1393450,-74.6906776,2020-03-28 23:49 EDT
Hunterdon,New Jersey,61,9,0,0,0.0000000,40.5672532,-74.9121792,2020-03-28 23:49 EDT
Gloucester,New Jersey,51,11,1,1,0.0196078,39.7172011,-75.1416437,2020-03-28 23:49 EDT
Warren,New Jersey,51,13,0,0,0.0000000,40.8573236,-74.9970630,2020-03-28 23:49 EDT
Atlantic,New Jersey,17,3,0,0,0.0000000,39.4806564,-74.6726431,2020-03-28 23:49 EDT
Cumberland,New Jersey,11,2,0,0,0.0000000,39.3731149,-75.1106192,2020-03-28 23:49 EDT
Cape May,New Jersey,7,0,0,0,0.0000000,38.9354700,-74.9213700,2020-03-28 23:49 EDT
Salem,New Jersey,3,0,0,0,0.0000000,39.5766133,-75.3581075,2020-03-28 23:49 EDT
