County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,94409,7381,5820,670,0.0616467,40.7145500,-74.0071400,2020-04-10 22:54 EDT
Nassau,New York,21512,1372,723,90,0.0336091,40.7416523,-73.5889962,2020-04-10 22:54 EDT
Suffolk,New York,20320,1517,414,52,0.0203740,40.8773281,-72.8589804,2020-04-10 22:54 EDT
Westchester,New York,18077,1073,389,30,0.0215191,41.1631976,-73.7560629,2020-04-10 22:54 EDT
Rockland,New York,7122,457,200,28,0.0280820,41.1523740,-74.0240103,2020-04-10 22:54 EDT
Orange,New York,4640,331,132,17,0.0284483,41.4020682,-74.3055957,2020-04-10 22:54 EDT
Dutchess,New York,1598,105,11,1,0.0068836,41.7647751,-73.7428168,2020-04-10 22:54 EDT
Erie,New York,1506,66,53,0,0.0351926,42.7638212,-78.7322497,2020-04-10 22:54 EDT
Monroe,New York,742,44,40,0,0.0539084,43.1460428,-77.6967491,2020-04-10 22:54 EDT
Ulster,New York,530,68,8,0,0.0150943,41.9598600,-73.9903300,2020-04-10 22:54 EDT
Putnam,New York,487,31,7,0,0.0143737,41.4265345,-73.7494999,2020-04-10 22:54 EDT
Onondaga,New York,456,14,8,1,0.0175439,43.0048700,-76.1836000,2020-04-10 22:54 EDT
Albany,New York,426,47,12,1,0.0281690,42.6515500,-73.7552100,2020-04-10 22:54 EDT
Sullivan,New York,318,22,7,0,0.0220126,41.7163135,-74.7681108,2020-04-10 22:54 EDT
Schenectady,New York,191,24,7,0,0.0366492,42.8123800,-73.9412200,2020-04-10 22:54 EDT
Saratoga,New York,182,10,4,0,0.0219780,43.0697400,-73.6366100,2020-04-10 22:54 EDT
Oneida,New York,172,14,3,0,0.0174419,43.2430650,-75.4258360,2020-04-10 22:54 EDT
Niagara,New York,156,1,4,0,0.0256410,43.1999815,-78.7452226,2020-04-10 22:54 EDT
Steuben,New York,117,25,6,0,0.0512821,42.2678268,-77.3838260,2020-04-10 22:54 EDT
Broome,New York,112,7,6,0,0.0535714,42.1602180,-75.8196459,2020-04-10 22:54 EDT
Tompkins,New York,107,0,0,0,0.0000000,42.4493350,-76.4706436,2020-04-10 22:54 EDT
Madison,New York,102,0,3,0,0.0294118,42.9129075,-75.6697890,2020-04-10 22:54 EDT
Rensselaer,New York,102,0,5,0,0.0490196,42.7108626,-73.5097379,2020-04-10 22:54 EDT
Columbia,New York,84,1,5,0,0.0595238,42.2500108,-73.6318613,2020-04-10 22:54 EDT
St. Lawrence,New York,82,0,0,0,0.0000000,44.1772700,-76.1677200,2020-04-10 22:54 EDT
Genesee,New York,65,9,1,0,0.0153846,43.0009402,-78.1936949,2020-04-10 22:54 EDT
Chenango,New York,60,5,0,0,0.0000000,42.4934944,-75.6115371,2020-04-10 22:54 EDT
Chemung,New York,59,0,1,0,0.0169492,42.1411881,-76.7600106,2020-04-10 22:54 EDT
Ontario,New York,51,8,0,0,0.0000000,42.8528894,-77.2998110,2020-04-10 22:54 EDT
Clinton,New York,43,3,0,0,0.0000000,44.7904000,-73.6006000,2020-04-10 22:54 EDT
Jefferson,New York,43,1,0,0,0.0000000,44.0410342,-75.9122553,2020-04-10 22:54 EDT
Warren,New York,43,3,0,0,0.0000000,43.5592099,-73.8588116,2020-04-10 22:54 EDT
Otsego,New York,41,2,1,0,0.0243902,42.6337375,-75.0325623,2020-04-10 22:54 EDT
Wayne,New York,41,2,0,0,0.0000000,42.4741310,-77.0981600,2020-04-10 22:54 EDT
Delaware,New York,39,2,2,0,0.0512821,42.1980433,-74.9663520,2020-04-10 22:54 EDT
Herkimer,New York,36,4,3,0,0.0833333,43.0259000,-74.9843300,2020-04-10 22:54 EDT
Oswego,New York,36,0,2,0,0.0555556,43.4365257,-76.1492440,2020-04-10 22:54 EDT
Greene,New York,34,3,0,0,0.0000000,42.2765457,-74.1226159,2020-04-10 22:54 EDT
Wyoming,New York,30,1,1,0,0.0333333,42.7024266,-78.2244326,2020-04-10 22:54 EDT
Livingston,New York,29,0,2,0,0.0689655,42.7280835,-77.7754386,2020-04-10 22:54 EDT
Montgomery,New York,29,1,1,0,0.0344828,42.9022918,-74.4396009,2020-04-10 22:54 EDT
Cayuga,New York,27,11,1,0,0.0370370,42.9214520,-76.5491749,2020-04-10 22:54 EDT
Allegany,New York,26,4,1,0,0.0384615,42.2573979,-78.0275544,2020-04-10 22:54 EDT
Washington,New York,26,1,1,0,0.0384615,43.3122711,-73.4309623,2020-04-10 22:54 EDT
Orleans,New York,24,2,0,0,0.0000000,43.2521006,-78.2312468,2020-04-10 22:54 EDT
Chautauqua,New York,22,0,3,1,0.1363636,42.2282627,-79.3664330,2020-04-10 22:54 EDT
Cattaraugus,New York,18,1,0,0,0.0000000,42.2485958,-78.6788120,2020-04-10 22:54 EDT
Fulton,New York,18,3,0,0,0.0000000,43.1124027,-74.4351628,2020-04-10 22:54 EDT
Tioga,New York,18,1,0,0,0.0000000,42.0605700,-76.3451900,2020-04-10 22:54 EDT
Cortland,New York,17,1,0,0,0.0000000,42.5950011,-76.0702374,2020-04-10 22:54 EDT
Seneca,New York,15,0,0,0,0.0000000,42.7900684,-76.8229227,2020-04-10 22:54 EDT
Schoharie,New York,12,0,0,0,0.0000000,42.5882075,-74.4421359,2020-04-10 22:54 EDT
Franklin,New York,11,0,0,0,0.0000000,44.5926754,-74.3034218,2020-04-10 22:54 EDT
Essex,New York,10,2,0,0,0.0000000,44.1075570,-73.7912585,2020-04-10 22:54 EDT
Lewis,New York,6,0,0,0,0.0000000,43.7847339,-75.4487061,2020-04-10 22:54 EDT
Schuyler,New York,5,1,0,0,0.0000000,42.3706390,-76.9851275,2020-04-10 22:54 EDT
Hamilton,New York,3,0,0,0,0.0000000,43.6613037,-74.4973357,2020-04-10 22:54 EDT
Yates,New York,2,1,0,0,0.0000000,42.6333458,-77.1180768,2020-04-10 22:54 EDT
Bergen,New Jersey,8928,585,390,45,0.0436828,40.9594915,-74.0744420,2020-04-10 22:54 EDT
Essex,New Jersey,6580,511,352,31,0.0534954,40.7877926,-74.2476006,2020-04-10 22:54 EDT
Hudson,New Jersey,6411,532,163,31,0.0254251,40.7403423,-74.0741097,2020-04-10 22:54 EDT
Union,New Jersey,5575,372,161,16,0.0288789,40.6963500,-74.2695700,2020-04-10 22:54 EDT
Middlesex,New Jersey,5060,432,168,16,0.0332016,40.5793600,-74.5006700,2020-04-10 22:54 EDT
Passaic,New Jersey,5017,327,101,19,0.0201316,40.8603400,-74.1237400,2020-04-10 22:54 EDT
Monmouth,New Jersey,3496,248,107,9,0.0306064,40.2600411,-74.2219463,2020-04-10 22:54 EDT
Ocean,New Jersey,3269,176,121,2,0.0370144,39.9092743,-74.2969653,2020-04-10 22:54 EDT
Morris,New Jersey,2771,126,135,18,0.0487189,40.8620190,-74.5442741,2020-04-10 22:54 EDT
Somerset,New Jersey,1523,188,69,10,0.0453053,40.4985900,-74.5224900,2020-04-10 22:54 EDT
Mercer,New Jersey,1282,121,39,3,0.0304212,40.2833191,-74.7015737,2020-04-10 22:54 EDT
Camden,New Jersey,1072,82,29,6,0.0270522,39.9452500,-75.1191300,2020-04-10 22:54 EDT
Burlington,New Jersey,954,71,22,1,0.0230608,40.0768700,-74.8577500,2020-04-10 22:54 EDT
Gloucester,New Jersey,447,34,8,0,0.0178971,39.7172011,-75.1416437,2020-04-10 22:54 EDT
Sussex,New Jersey,413,21,26,5,0.0629540,41.1393450,-74.6906776,2020-04-10 22:54 EDT
Warren,New Jersey,337,18,15,6,0.0445104,40.8573236,-74.9970630,2020-04-10 22:54 EDT
Hunterdon,New Jersey,293,7,7,3,0.0238908,40.5672532,-74.9121792,2020-04-10 22:54 EDT
Atlantic,New Jersey,211,20,6,2,0.0284360,39.4806564,-74.6726431,2020-04-10 22:54 EDT
Cumberland,New Jersey,138,27,3,0,0.0217391,39.3731149,-75.1106192,2020-04-10 22:54 EDT
Cape May,New Jersey,116,7,5,2,0.0431034,38.9354700,-74.9213700,2020-04-10 22:54 EDT
Salem,New Jersey,46,3,3,0,0.0652174,39.5766133,-75.3581075,2020-04-10 22:54 EDT
Wayne--Detroit,Michigan,6218,157,327,52,0.0525893,42.2305400,-83.3430000,2020-04-10 22:54 EDT
Oakland,Michigan,4511,264,282,36,0.0625139,42.7421400,-83.1617400,2020-04-10 22:54 EDT
Wayne,Michigan,4321,289,282,53,0.0652627,42.2851500,-83.3836000,2020-04-10 22:54 EDT
Macomb,Michigan,2973,190,197,32,0.0662630,42.6956500,-82.9217100,2020-04-10 22:54 EDT
Genesee,Michigan,828,73,57,9,0.0688406,43.0217016,-83.7067548,2020-04-10 22:54 EDT
Washtenaw,Michigan,659,22,15,0,0.0227618,42.2532294,-83.8387763,2020-04-10 22:54 EDT
Michigan Department of Corrections (MDOC),Michigan,335,335,5,5,0.0149254,44.1251998,-84.1966975,2020-04-10 22:54 EDT
Kent,Michigan,250,17,13,4,0.0520000,43.0321620,-85.5492982,2020-04-10 22:54 EDT
Saginaw,Michigan,240,35,9,2,0.0375000,43.3350249,-84.0531776,2020-04-10 22:54 EDT
Ingham,Michigan,239,17,3,0,0.0125523,42.5970924,-84.3735342,2020-04-10 22:54 EDT
Livingston,Michigan,196,15,3,1,0.0153061,42.6029182,-83.9115240,2020-04-10 22:54 EDT
St. Clair,Michigan,179,17,4,0,0.0223464,42.8318900,-82.5022100,2020-04-10 22:54 EDT
Monroe,Michigan,174,9,4,3,0.0229885,41.9160600,-83.3979000,2020-04-10 22:54 EDT
Jackson,Michigan,140,9,4,0,0.0285714,42.2484824,-84.4234498,2020-04-10 22:54 EDT
Out of State,Michigan,137,6,1,0,0.0072993,42.8978860,-86.2110453,2020-04-10 22:54 EDT
Clinton,Michigan,90,5,3,2,0.0333333,42.9436543,-84.6015142,2020-04-10 22:54 EDT
Berrien,Michigan,88,8,2,0,0.0227273,41.9546870,-86.4122229,2020-04-10 22:54 EDT
Lapeer,Michigan,87,10,6,1,0.0689655,43.0901321,-83.2217857,2020-04-10 22:54 EDT
Kalamazoo,Michigan,77,3,7,1,0.0909091,42.2454372,-85.5311697,2020-04-10 22:54 EDT
Hillsdale,Michigan,70,6,6,0,0.0857143,41.8877641,-84.5929263,2020-04-10 22:54 EDT
Eaton,Michigan,69,0,4,1,0.0579710,42.5960749,-84.8383207,2020-04-10 22:54 EDT
Calhoun,Michigan,65,8,1,0,0.0153846,42.2465365,-85.0055836,2020-04-10 22:54 EDT
Ottawa,Michigan,61,2,1,0,0.0163934,42.9607123,-85.9951657,2020-04-10 22:54 EDT
Muskegon,Michigan,57,4,4,0,0.0701754,43.2912071,-86.1520000,2020-04-10 22:54 EDT
Bay,Michigan,48,6,0,0,0.0000000,43.7073289,-83.9920371,2020-04-10 22:54 EDT
Tuscola,Michigan,41,5,5,2,0.1219512,43.4641268,-83.4168226,2020-04-10 22:54 EDT
Lenawee,Michigan,39,0,0,0,0.0000000,41.8950816,-84.0663722,2020-04-10 22:54 EDT
Isabella,Michigan,37,9,2,0,0.0540541,43.6405897,-84.8467858,2020-04-10 22:54 EDT
Shiawassee,Michigan,34,3,0,0,0.0000000,42.9537374,-84.1467430,2020-04-10 22:54 EDT
Otsego,Michigan,29,0,2,0,0.0689655,45.0992000,-84.6482000,2020-04-10 22:54 EDT
Midland,Michigan,28,0,1,0,0.0357143,43.6468649,-84.3881103,2020-04-10 22:54 EDT
Branch,Michigan,25,1,2,1,0.0800000,41.9161093,-85.0590276,2020-04-10 22:54 EDT
Sanilac,Michigan,23,2,2,0,0.0869565,43.4235662,-82.8201259,2020-04-10 22:54 EDT
