County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,23112,3101,365,365,1.6%,40.71455,-74.00714,2020-03-26 21:06 EDT
Westchester,New York,5944,1253,1,1,0.0%,41.16319759,-73.7560629,2020-03-26 21:06 EDT
Nassau,New York,3914,629,17,17,0.4%,40.74165225,-73.58899619,2020-03-26 21:06 EDT
Suffolk,New York,2735,475,22,22,0.8%,40.87732808,-72.85898036,2020-03-26 21:06 EDT
Rockland,New York,1197,229,5,5,0.4%,41.152374,-74.02401032,2020-03-26 21:06 EDT
Orange,New York,751,113,1,1,0.1%,41.40206825,-74.30559567,2020-03-26 21:06 EDT
Erie,New York,206,60,2,2,1.0%,42.76382119,-78.73224973,2020-03-26 21:06 EDT
Dutchess,New York,190,37,1,1,0.5%,41.76477515,-73.74281684,2020-03-26 21:06 EDT
Albany,New York,171,19,0,0,0.0%,42.65155,-73.75520999999998,2020-03-26 21:06 EDT
Monroe,New York,148,30,4,4,2.7%,43.14604282,-77.69674911,2020-03-26 21:06 EDT
Onondaga,New York,111,30,1,1,0.9%,43.00487,-76.1836,2020-03-26 21:06 EDT
Putnam,New York,94,10,0,0,0.0%,41.42653455,-73.7494999,2020-03-26 21:06 EDT
Ulster,New York,78,13,0,0,0.0%,41.95986,-73.99033,2020-03-26 21:06 EDT
Saratoga,New York,73,9,0,0,0.0%,43.06974,-73.63661,2020-03-26 21:06 EDT
Schenectady,New York,62,7,1,1,1.6%,42.81238,-73.94122,2020-03-26 21:06 EDT
Sullivan,New York,53,14,0,0,0.0%,41.71631354,-74.76811083,2020-03-26 21:06 EDT
Rensselaer,New York,44,6,0,0,0.0%,42.71086263,-73.5097379,2020-03-26 21:06 EDT
Tompkins,New York,32,9,0,0,0.0%,42.44933495,-76.47064359,2020-03-26 21:06 EDT
Columbia,New York,24,5,0,0,0.0%,42.25001078,-73.63186134,2020-03-26 21:06 EDT
Broome,New York,16,5,2,2,12.5%,42.16021802,-75.81964586,2020-03-26 21:06 EDT
Niagara,New York,14,2,0,0,0.0%,43.19998147,-78.74522262,2020-03-26 21:06 EDT
Oneida,New York,13,3,0,0,0.0%,43.24306498,-75.42583597,2020-03-26 21:06 EDT
Ontario,New York,11,2,0,0,0.0%,42.85288942,-77.29981098,2020-03-26 21:06 EDT
Clinton,New York,11,1,0,0,0.0%,44.7904,-73.6006,2020-03-26 21:06 EDT
Steuben,New York,11,0,0,0,0.0%,42.26782685,-77.38382596,2020-03-26 21:06 EDT
Madison,New York,9,2,1,1,11.1%,42.91290749,-75.66978904,2020-03-26 21:06 EDT
Wayne,New York,8,1,0,0,0.0%,42.474131,-77.09816,2020-03-26 21:06 EDT
Delaware,New York,7,2,0,0,0.0%,42.19804334,-74.96635196,2020-03-26 21:06 EDT
Herkimer,New York,7,2,0,0,0.0%,43.0259,-74.98433,2020-03-26 21:06 EDT
Wyoming,New York,7,3,1,1,14.3%,42.70242659,-78.22443261,2020-03-26 21:06 EDT
Chemung,New York,7,1,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-26 21:06 EDT
Greene,New York,5,1,0,0,0.0%,42.27654571,-74.12261588,2020-03-26 21:06 EDT
