County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,67551,4245,3048,3048,4.5%,40.71455,-74.00714,2020-04-05 23:45 EDT
Nassau,New York,14398,1052,162,162,1.1%,40.74165225,-73.58899619,2020-04-05 23:45 EDT
Westchester,New York,13723,642,197,197,1.4%,41.16319759,-73.7560629,2020-04-05 23:45 EDT
Suffolk,New York,13129,1759,175,175,1.3%,40.87732808,-72.85898036,2020-04-05 23:45 EDT
Rockland,New York,5326,454,69,69,1.3%,41.152374,-74.02401032,2020-04-05 23:45 EDT
Orange,New York,3187,324,53,53,1.7%,41.40206825,-74.30559567,2020-04-05 23:45 EDT
Dutchess,New York,1077,139,8,8,0.7%,41.76477515,-73.74281684,2020-04-05 23:45 EDT
Erie,New York,1059,114,27,27,2.5%,42.76382119,-78.73224973,2020-04-05 23:45 EDT
Monroe,New York,548,36,19,19,3.5%,43.14604282,-77.69674911,2020-04-05 23:45 EDT
Onondaga,New York,364,15,5,5,1.4%,43.004870000000004,-76.1836,2020-04-05 23:45 EDT
Ulster,New York,358,40,4,4,1.1%,41.95986,-73.99033,2020-04-05 23:45 EDT
Putnam,New York,314,31,7,7,2.2%,41.42653455,-73.7494999,2020-04-05 23:45 EDT
Albany,New York,305,12,8,8,2.6%,42.65155,-73.75520999999998,2020-04-05 23:45 EDT
Sullivan,New York,193,0,5,5,2.6%,41.71631354,-74.76811083,2020-04-05 23:45 EDT
Saratoga,New York,150,0,1,1,0.7%,43.06974,-73.63661,2020-04-05 23:45 EDT
Schenectady,New York,128,11,7,7,5.5%,42.81238,-73.94122,2020-04-05 23:45 EDT
Niagara,New York,116,15,0,0,0.0%,43.19998147,-78.74522262,2020-04-05 23:45 EDT
Oneida,New York,95,9,2,2,2.1%,43.24306498,-75.42583597,2020-04-05 23:45 EDT
Tompkins,New York,95,0,0,0,0.0%,42.44933495,-76.47064359,2020-04-05 23:45 EDT
Madison,New York,89,4,2,2,2.2%,42.91290749,-75.66978904,2020-04-05 23:45 EDT
Rensselaer,New York,74,1,1,1,1.4%,42.71086263,-73.5097379,2020-04-05 23:45 EDT
Steuben,New York,73,13,1,1,1.4%,42.26782685,-77.38382596,2020-04-05 23:45 EDT
Broome,New York,71,6,5,5,7.0%,42.16021802,-75.81964586,2020-04-05 23:45 EDT
Columbia,New York,69,8,3,3,4.3%,42.25001078,-73.63186134,2020-04-05 23:45 EDT
St. Lawrence,New York,61,3,0,0,0.0%,44.17727,-76.16771999999997,2020-04-05 23:45 EDT
Chenango,New York,43,4,0,0,0.0%,42.49349443,-75.61153709999998,2020-04-05 23:45 EDT
Chemung,New York,38,2,0,0,0.0%,42.1411881,-76.76001059999999,2020-04-05 23:45 EDT
Clinton,New York,33,2,0,0,0.0%,44.7904,-73.6006,2020-04-05 23:45 EDT
Oswego,New York,32,2,0,0,0.0%,43.436525700000004,-76.14924403,2020-04-05 23:45 EDT
Ontario,New York,32,1,0,0,0.0%,42.85288942,-77.29981098,2020-04-05 23:45 EDT
Wayne,New York,32,2,0,0,0.0%,42.474131,-77.09816,2020-04-05 23:45 EDT
Otsego,New York,29,3,1,1,3.4%,42.63373751,-75.03256231,2020-04-05 23:45 EDT
Delaware,New York,27,2,1,1,3.7%,42.19804334,-74.96635196,2020-04-05 23:45 EDT
Jefferson,New York,26,6,0,0,0.0%,44.04103424,-75.91225529,2020-04-05 23:45 EDT
Warren,New York,25,5,0,0,0.0%,43.5592099,-73.85881158,2020-04-05 23:45 EDT
Livingston,New York,24,2,1,1,4.2%,42.72808354,-77.77543855,2020-04-05 23:45 EDT
Greene,New York,24,0,0,0,0.0%,42.27654571,-74.12261588,2020-04-05 23:45 EDT
Wyoming,New York,22,4,1,1,4.5%,42.70242659,-78.22443261,2020-04-05 23:45 EDT
Herkimer,New York,22,4,3,3,13.6%,43.0259,-74.98433,2020-04-05 23:45 EDT
Genesee,New York,22,1,1,1,4.5%,43.00094016,-78.1936949,2020-04-05 23:45 EDT
Chautauqua,New York,18,4,1,1,5.6%,42.22826274,-79.36643298,2020-04-05 23:45 EDT
Washington,New York,18,1,1,1,5.6%,43.31227113,-73.43096234,2020-04-05 23:45 EDT
Allegany,New York,16,0,1,1,6.2%,42.25739788,-78.02755444,2020-04-05 23:45 EDT
Montgomery,New York,15,2,1,1,6.7%,42.90229179999999,-74.43960085,2020-04-05 23:45 EDT
